canonical_book_id,title,author,isbn,pages,publication_year,description,cover_url,openlibrary_work_id,openlibrary_edition_id,identity_method,identity_confidence,subjects,subject_people,subject_places,subject_times
book_41a8258e3828bdce,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,1635574048,803.0,"Wed, 23 Sep 2026 16:43:39 -0700","Bryce Quinlan had the perfect life-working hard all day and partying all night-until a demon murdered her closest friends, leaving her bereft, wounded, and alone. When the accused is behind bars but the crimes start up again, Bryce finds herself at the heart of the investigation. She'll do whatever it takes to avenge their deaths.<br /><br />Hunt Athalar is a notorious Fallen angel, now enslaved to the Archangels he once attempted to overthrow. His brutal skills and incredible strength have been set to one purpose-to assassinate his boss's enemies, no questions asked. But with a demon wreaking havoc in the city, he's offered an irresistible deal: help Bryce find the murderer, and his freedom will be within reach.<br /><br />As Bryce and Hunt dig deep into Crescent City's underbelly, they discover a dark power that threatens everything and everyone they hold dear, and they find, in each other, a blazing passion-one that could set them both free, if they'd only let it.<br /><br />With unforgettable characters, sizzling romance, and page-turning suspense, this richly inventive new fantasy series delves into the heartache of loss, the price of freedom-and the power of love.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559142847l/44778083.jpg,OL20650912W,OL27924119M,openlibrary_work,high,"[""American literature"", ""Fiction, fantasy, urban"", ""Fiction, romance, paranormal"", ""Fiction, fantasy, epic"", ""Fiction, romance, fantasy"", ""collectionID:EanesChallenge"", ""Fiction, romance, paranormal, general"", ""[series:SJM_Crescent:City]"", ""fiction"", ""angels"", ""demonology"", ""Fairies"", ""fantasy fiction"", ""murder""]","[""Bryce Quinlan"", ""Hunt Athalar""]","[""Crescent City""]",[]
book_0e6b9c5b22406186,Nettle & Bone,T. Kingfisher,1250244048,243.0,"Sat, 19 Sep 2026 07:47:13 -0700","After years of seeing her sisters suffer at the hands of an abusive prince, Marra—the shy, convent-raised, third-born daughter—has finally realized that no one is coming to their rescue. No one, except for Marra herself.<br /><br />Seeking help from a powerful gravewitch, Marra is offered the tools to kill a prince—if she can complete three impossible tasks. But, as is the way in tales of princes, witches, and daughters, the impossible is only the beginning.<br /><br />On her quest, Marra is joined by the gravewitch, a reluctant fairy godmother, a strapping former knight, and a chicken possessed by a demon. Together, the five of them intend to be the hand that closes around the throat of the prince and frees Marra's family and their kingdom from its tyrannous ruler at last.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1645110008l/56179377._SY475_.jpg,OL24510090W,OL32480153M,openlibrary_work,high,"[""Fantasy"", ""Horror"", ""Fiction"", ""Magic"", ""Hugo Award Winner"", ""award:hugo_award=2023"", ""award:hugo_award=novel"", ""American literature""]",[],[],[]
book_9425f40f3ed52a0d,"Insatiable (The Edge of Darkness, #1)",Leigh Rivers,,413.0,"Sat, 12 Sep 2026 12:56:23 -0700","IF HE CAN'T HAVE HER, NO ONE ELSE CAN<br /><br />Kade Mitchell is obsessed with someone he despises. A snake in an angel’s skin, Stacey Rhodes is everything he can’t forget–the girl who shattered his heart and drove him deep into the darkness of the underworld. He watched her for years. Killed anyone who came close to her. But now, granted a brief moment of freedom from the life he’s trapped in, he’s back home and driven to claim her again, breaking every rule he’s ever made for himself. Not even his hatred can stop the pull between them. But he’ll never forgive her… will he?<br /><br />As this is a dark romance, the author highly recommends seeing the 'content warning' page.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688984179l/187012471._SY475_.jpg,OL38077499W,,openlibrary_work,high,"[""dark romance"", ""bully"", ""contemporary"", ""new adult"", ""rich hero"", ""angst"", ""enemies to lovers"", ""secret relationship"", ""pregnancy"", ""tortured hero"", ""dual pov"", ""abuse"", ""Romance"", ""Dark"", ""Second Chance"", ""Spicy"", ""Fantasy"", ""Smut""]","[""Kade Mitchell"", ""Stacey Rhodes""]",[],[]
book_4b06783b0dc84876,"Burn of the Everflame (Kindred's Curse, #4)",Penn Cole,1668200228,880.0,"Fri, 11 Sep 2026 15:18:27 -0700","War has overtaken Emarion. In the north, Ophiucae and his army of bloodthirsty mortals seek to eradicate all Descended from the continent. In the south, the Guardians of the Everflame lie in wait, plotting a rebellion generations overdue.<br /><br />In Lumnos, Realm of Light and Shadow, the Crowns are gathering. Caught between two deadly foes, they must form an unlikely alliance to save their people.<br /><br />But the Crowns have a secret—and a heart without its mate will burn the world down to fulfill its fate.<br /><br />Hatred reigns. Hope seems lost. With the future in darkness, can a flame emerge to bring the light?",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1788351545l/220145036._SY475_.jpg,OL45342463W,,openlibrary_work,high,[],[],[],[]
book_9ba69a443c7383a4,"The Knave and the Moon  (The Stonewater Kingdom, #2)",Rachel Gillig,0356522997,353.0,"Fri, 11 Sep 2026 15:17:54 -0700","<b>Rachel Gillig, the queen of gothic romantasy, returns with higher stakes, darker mysteries, and deeper longings in this gorgeous sequel to the #1 New York Times bestselling sensation </b><i>
  <b>The Knight and the Moth.</b>
</i><br /><br /> Aisling Cathedral is in ruins. Rodrick Myndacious, Bartholomew, and Maude Bauer are rumored to be dead—and the king has taken Sybil Delling as his bride. To show off their union and solidify his power over Traum, Benji proposes a series of tournaments throughout the hamlets. Captive and drugged, Sybil remains determined to vanquished him as she once did the Omens, even if she destroys the kingdom’s faith—and herself—in the process.<br /><br />But then a mysterious knave rises to the top of the lists, a man with no name and no memory who may just be Sybil’s ticket to undoing Benji’s power. For in a land where stories repeat themselves, where a king can prove as cruel as a god, the only way to truly destroy the Stonewater Kingdom’s faith is to save it.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1768433474l/241564688._SY475_.jpg,OL45040569W,OL61440973M,openlibrary_work,high,[],[],[],[]
book_1a7081a7b1ddbdf6,"Kill for Me, Kill for You",Steve Cavanagh,1668049341,340.0,"Sat, 05 Sep 2026 20:01:21 -0700","<b>A razor-sharp and Hitchcock-inspired psychological thriller about two ordinary women who make a dangerous pact to take revenge for each other after being pushed to the brink.</b><br /><br />One dark evening on New York City’s Upper West Side, two strangers meet by chance. Over drinks, Amanda and Wendy realize they have much in common, especially loneliness and an intense desire for revenge against the men who destroyed their families. As they talk into the night, they come up with the perfect plan: if you kill for me, I’ll kill for you. <br /><br />In another part of the city, Ruth is home alone when the beautiful brownstone she shares with her husband, Scott, is invaded. She’s attacked by a man with piercing blue eyes, who disappears into the night. Will she ever be able to feel safe again while the blue-eyed stranger is out there?",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687105490l/176451879.jpg,OL35722847W,OL51103185M,openlibrary_work,high,"[""English literature""]",[],[],"[""Modern Day""]"
book_220c6dbf3c162961,"A Touch of Darkness (Hades & Persephone, #1)",Scarlett St.  Clair,,438.0,"Sat, 05 Sep 2026 18:15:56 -0700","<i>This is a previously-published edition - ASIN: <a href=""https://www.goodreads.com/book/show/55215339-a-touch-of-darkness"" rel=""nofollow noopener"">B07S9HLL34</a></i><br /><br />Persephone is the Goddess of Spring by title only. The truth is, since she was a little girl, flowers have shriveled at her touch. After moving to New Athens, she hopes to lead an unassuming life disguised as a mortal journalist. <br /><br />Hades, God of the Dead, has built a gambling empire in the mortal world and his favorite bets are rumored to be impossible. <br /><br />After a chance encounter with Hades, Persephone finds herself in a contract with the God of the Dead and the terms are impossible: Persephone must create life in the Underworld or lose her freedom forever. <br /><br />The bet does more than expose Persephone’s failure as a Goddess, however. As she struggles to sow the seeds of her freedom, love for the God of the Dead grows—and it’s forbidden.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552653941l/43175155._SY475_.jpg,OL21370801W,,openlibrary_work,high,"[""Series:Hades-x-Persephone"", ""Fiction, romance, general"", ""Fiction, erotica, general"", ""Fantasy"", ""Fiction, fantasy, general"", ""Romance"", ""Mythology"", ""Romantasy"", ""Greek Mythology"", ""Retellings"", ""Fantasy Romance"", ""Fiction"", ""Dark Romance""]","[""Hades"", ""Persephone""]",[],[]
book_c33ec4db42f2af1b,"Royal Hunt (Royal Fae, #1)",Raven  Storm,,272.0,"Thu, 03 Sep 2026 13:09:43 -0700","Eve was only trying to get out of horrible betrothal. At least, that's what she told herself when she snuck out onto the balcony during the royal feast, and had her wicked way with the first man she met.<br /><br />How was she supposed to know that while that was going on, the royal family was being murdered just beyond the wall?<br /><br />And the man she was with was a drunken, disgusting mess. There was no indication he was anyone at all of importance!<br /><br />Yet keeping the new crown prince of the realm alive is only the beginning of her worries. With the murder of the royals came the fae; creatures with magick who descend every hundred years or so to force the humans underneath them to compete in death games. They call it the Royal Hunt.<br /><br />Now it isn't just about saving the prince's life, but her own, and every human living in the kingdom.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1685062612l/163247180._SY475_.jpg,OL38383425W,,openlibrary_work,high,[],[],[],[]
book_6af3543a827d0cf8,"Between Life and Death (Between Life and Death, #1)",Jaclyn Kot,1738702227,425.0,"Thu, 03 Sep 2026 11:21:02 -0700","“His eyes returned to mine, that invisible tether between us strung too tight.<br />That magnetic pull, it was unbreakable, unyielding. Eternal.<br />And it demanded that we collide.”<br /><br />On the secluded continent of Edenvale, possessing magic is a death sentence. Those who have it are labelled Cursed, and by order of the king, they are Cleansed—a horrific event utilizing a hot, hungry pyre and an iron collar. Enemy to the king, a group known as the Cursed rebels defend their lands from his reach, creating an ongoing, bloodthirsty war.<br /><br />When Sage’s brother is conscripted for the war, she is forced to trade in her cozy, peaceful cottage life and join the Cursed rebels to get him back. Her mission seems straightforward, but Von, the leader of the Cursed rebels, comes riddled with dark secrets. With his otherworldly eyes, black as a starless night, and a taste for juicy thigh—ahem—red apples, Sage knows better than to get involved with a guy like him. But knowing and doing are two very different things.<br /><br />Together with the Cursed rebels and Von, the king of inky deals and sexy, stolen moments, Sage embarks on the quest of a lifetime.<br /><br />Little does she know that fate is at work and the gods are watching her every move.<br /><br />For ACOTAR fans who are looking to scratch that insatiable itch.<br />This one is for you.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677089689l/122953929._SY475_.jpg,OL41898282W,,openlibrary_work,high,[],[],[],[]
book_ca5c4a4fd8bc3895,"Vasmora (The Eating Woods, #3)",Keri Lake,,,"Thu, 03 Sep 2026 09:46:57 -0700","<b>In the harrowing conclusion of The Eating Woods trilogy, an age-old prophecy will come to pass, plunging the immortal world into a blighted web of destruction and despair.</b><br /> <br /><br /><br />Fate has never been entirely kind to Maevyth Bronwick. Though, after having survived a sinister plague, grotesque monsters, and gut-wrenching tragedy, she never imagined things could possibly get worse. But cursed gods, she was wrong.<br /><br />It seems fate was only sharpening its claws. <br /><br />Ensnared in the golden gauntlet of the most sadistic general in Aethyria, Maevyth faces the wrath of a jealous tyrant who longs to watch her suffer a slow and painful ruin.<br /><br />A torment said to be worse than death.<br /><br />Without the protection of her blood magic, Maevyth is no more than a powerless mortal and must fight the urge to succumb to the cruelty. Not an easy task, given the devastating loss she refuses to accept—and rightly so.<br /><br />Because Zevander “The Scorpion” Rydainn isn’t dead, after all.<br /><br />He’s very much alive and seething with vengeance. Brimming with rage. Merciless in his pursuit to reclaim his beloved mate and bring the ancient godsflame to anyone who stands in his way.<br /><br />A necessary brutality when a slumbering god awakens and Aethyria’s foretold destruction reignites the hunt of those who seek Maevyth’s precious blood.<br /><br />Prophecies will unravel. Walls will crumble. Kingdoms will fall. And through it all, a monolith of truth stands unbroken:<br />Their love may conquer all, but death will tear them apart.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1784663561l/255744423._SY475_.jpg,,,title_author,medium,[],[],[],[]
book_08edf7c3c2cfa011,"The Queen's Blade (The Broken Blade, #1)",Evelyn  Ward,,408.0,"Wed, 02 Sep 2026 16:21:20 -0700","<i>Go to sleep, or the Queen’s Blades will find you.<br />Be good, or the Queen’s Blades will get you.<br />Follow the edicts of the Goddess, or the Queen’s Blades will hunt you…<br />Will hurt you…<br />Will kill you…</i><br /><br />Every citizen in the realm knows Witches are the favored Faction. That’s why a Witch occupies the throne, and why the laws of the Eternal City grant Witches far more than their fair share.<br />And if any of the other Factions take issue with that? They’re likely to meet a swift death at the hands of the fabled Queen’s Blades, the four assassins vowed to protect the Queen and the realm itself.<br /><br />Even among the Queen’s Blades, Fey is an anomaly. As a Water Witch, her powers should have led her to a life of healing. But violence always came easier to Fey than healing ever did. The other Blades—three ruthless, savage Witches she is proud to call her sisters—love her all the more for it.<br /><br />But when one of the Blades is murdered, Fey becomes entangled in a mystery that threatens the very system she vowed to protect. And every clue she finds just raises more questions.<br />Who can she trust? What dark secrets are being kept from her and the other Blades? And perhaps the most dangerous question of who really killed her sister?<br /><br /><b>The Queen’s Blade is book one of The Broken Blade trilogy, a dark romantasy series with adult themes. Readers are advised this series contains adult content, strong language, and violence.</b>",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1720911228l/216455312._SY475_.jpg,,,title_author,medium,[],[],[],[]
book_03c5201fae64c170,Dangerous Men (Fortune City Mafia #1),Evelyn  Ward,,408.0,"Wed, 02 Sep 2026 16:21:18 -0700","<i>“Careful, Sydney. No one likes an angry woman.”</i><br /><br />Sydney Sinclair has spent her life trying to be good.<br /><br />And it hasn’t always been easy.<br /><br />Reeling from a bad breakup, Sydney’s life takes an unexpected turn when a night out with her best friend leads to an encounter with Alec, a wealthy and enigmatic businessman. Soon Sydney finds herself entangled not only with Alec, but also his charismatic business partner, Ashton, and their cold and menacing associate, Sebastian.<br /><br />As Sydney navigates this complex new relationship, she uncovers a dangerous world she never imagined lurked beneath Fortune City, forcing her to confront her own buried past and the violent person she once was.<br /><br /><b>Dangerous Men is book one of the Fortune City Mafia series, a dark “why choose” mafia romance with adult themes. Readers are advised this series contains adult content, strong language, and violence.</b>",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1746047437l/232488030._SY475_.jpg,,,title_author,medium,[],[],[],[]
book_cf59f0d729dc577c,"Tithe (Modern Faerie Tales, #1)",Holly Black,0689867042,272.0,"Tue, 01 Sep 2026 18:53:53 -0700","<b>Welcome to the realm of very scary faeries!</b><br /><br />Sixteen-year-old Kaye is a modern nomad. Fierce and independent, she travels from city to city with her mother's rock band until an ominous attack forces Kaye back to her childhood home. There, amid the industrial, blue-collar New Jersey backdrop, Kaye soon finds herself an unwilling pawn in an ancient power struggle between two rival faerie kingdoms - a struggle that could very well mean her death.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342120818l/46777.jpg,OL5833930W,OL7730738M,openlibrary_work,high,"[""Fiction"", ""Magic"", ""Faeries"", ""Supernatural"", ""Juvenile fiction"", ""Young adult fiction"", ""Fairies"", ""Children of entertainers"", ""Fantasy fiction"", ""Social Themes"", ""Fantasy"", ""Drugs, Alcohol, Substance Abuse"", ""Legends, Myths, Fables"", ""Homecoming"", ""Reading Level-Grade 9"", ""Reading Level-Grade 8"", ""Reading Level-Grade 11"", ""Reading Level-Grade 10"", ""Reading Level-Grade 12"", ""Children's fiction"", ""Fairies, fiction"", ""Magic, fiction"", ""Human sacrifice"", ""Halloween stories"", ""Large type books"", ""Supernatural, fiction"", ""Halloween"", ""Paranormal fiction"", ""Science Fiction / Fantasy (Young Adult)"", ""Children's 12-Up - Fiction - Fantasy"", ""Children: Young Adult (Gr. 7-9)"", ""Science Fiction, Fantasy, & Magic"", ""Juvenile Fiction / Science Fiction, Fantasy, Magic""]",[],"[""New Jersey""]","[""2002""]"
