reader,title,author,work_id,edition_id
you,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,OL20650912W,OL27924119M
you,Nettle & Bone,T. Kingfisher,OL24510090W,OL32480153M
you,"Insatiable (The Edge of Darkness, #1)",Leigh Rivers,OL38077499W,
you,"Burn of the Everflame (Kindred's Curse, #4)",Penn Cole,OL45342463W,
you,"The Knave and the Moon  (The Stonewater Kingdom, #2)",Rachel Gillig,OL45040569W,OL61440973M
you,"Kill for Me, Kill for You",Steve Cavanagh,OL35722847W,OL51103185M
you,"A Touch of Darkness (Hades & Persephone, #1)",Scarlett St.  Clair,OL21370801W,
you,"Royal Hunt (Royal Fae, #1)",Raven  Storm,OL38383425W,
you,"Between Life and Death (Between Life and Death, #1)",Jaclyn Kot,OL41898282W,
you,"Vasmora (The Eating Woods, #3)",Keri Lake,,
you,"The Queen's Blade (The Broken Blade, #1)",Evelyn  Ward,,
you,Dangerous Men (Fortune City Mafia #1),Evelyn  Ward,,
you,"Tithe (Modern Faerie Tales, #1)",Holly Black,OL5833930W,OL7730738M
you,The September House,Carissa Orlando,OL36520633W,OL49364115M
you,"The Knight and the Moth (The Stonewater Kingdom, #1)",Rachel Gillig,OL42398143W,OL57522779M
you,Spread Me,Sarah Gailey,OL42446523W,
you,"Her Majesty's Royal Coven (Her Majesty's Royal Coven, #1)",Juno  Dawson,OL25810037W,OL36011847M
you,Salt: A World History,Mark Kurlansky,OL16026786W,OL3318987M
you,At Home: A Short History of Private Life,Bill  Bryson,OL15100470W,OL24478391M
you,"Glow of the Everflame (Kindred's Curse, #2)",Penn Cole,OL39127383W,
you,"Heat of the Everflame (Kindred's Curse, #3)",Penn Cole,OL42401621W,
you,The Five-Star Weekend,Elin Hilderbrand,OL33473915W,OL46354995M
you,The One That Got Away,Simon Wood,OL20311323W,
you,The Illustrated Man,Ray Bradbury,OL103128W,OL7261795M
you,"The Gray Man (Gray Man, #1)",Mark Greaney,OL21758985W,
you,"King of Flesh & Bone (The Pale Court, #1)",Liv Zander,OL27490503W,
you,"Queen of Rot & Pain (The Pale Court, #2)",Liv Zander,OL27592242W,OL37627319M
you,"Spark of the Everflame (Kindred's Curse, #1)",Penn Cole,OL39130913W,
you,"Golden Son (Red Rising Saga, #2)",Pierce Brown,OL19340986W,OL38364835M
you,The Wicker Husband,Ursula  Wills,,
you,"Carl's Doomsday Scenario (Dungeon Crawler Carl, #2)",Matt Dinniman,OL24848193W,OL57409203M
you,"Red Rising (Red Rising Saga, #1)",Pierce Brown,OL17076473W,
you,A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,Sonia Purnell,,
you,"Holy Bible, New King James Version",Anonymous,OL25360652W,OL33980521M
you,"Lord, Teach Us To Pray",Andrew Murray,OL29609120W,
you,"Leather & Lark (Ruinous Love, #2)",Brynne Weaver,OL37574587W,
you,"The Housemaid is Watching (The Housemaid, #3)",Freida McFadden,OL37576476W,OL50637231M
you,"The Christmas Tree Farm (Dream Harbor, #3)",Laurie Gilmore,OL37826945W,OL51044399M
you,"The Cinnamon Bun Book Store (Dream Harbor, #2)",Laurie Gilmore,OL37585489W,OL51589165M
you,"The Pumpkin Spice Café (Dream Harbor, #1)",Laurie Gilmore,OL34337924W,OL46570196M
you,"The Housemaid's Wedding (The Housemaid, #2.5)",Freida McFadden,OL42487395W,
you,"Shadows So Cruel (Court of Ravens, #2)",Liv Zander,OL45914915W,
you,And So The Breaking Begins (Mindbreaker Duet #1; An Age of War and Prophecy #3),Lacey Lehotzky,,
you,"Nightshade (Nightshade, #1)",Keri Lake,OL28927875W,
you,Horns of Wicked Ebony (Deathcaller Duet #2; An Age of War and Prophecy #2),Lacey Lehotzky,,
you,"The Jasad Heir (The Scorched Throne, #1)",Sara  Hashem,OL34023748W,OL46110297M
you,"The Housemaid (The Housemaid, #1)",Freida McFadden,OL27729743W,
you,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,OL34113490W,
you,"Haunting Adeline (Cat and Mouse, #1)",H.D. Carlton,OL27310398W,
you,"Butcher & Blackbird (The Ruinous Love Trilogy, #1)",Brynne Weaver,OL36775731W,
you,"Rites of the Starling (Shield of Sparrows, #2)",Devney Perry,OL45101987W,
you,Trad Wife,Saratoga Schaefer,OL45075265W,
you,"Kingdom of Claw (The Ashen, #2)",Demi Winters,OL42423801W,
you,"Dawn of the North (The Ashen, #3)",Demi Winters,OL45246970W,OL61686647M
you,"Apprentice to the Villain (Assistant to the Villain, #2)",Hannah Nicole Maehrer,OL37568505W,OL50727439M
you,"Roots of Darkness (The Ashen, #2.5)",Demi Winters,OL44535155W,
you,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,OL24593432W,
you,Synodic,Kristin Travis,OL36369307W,
you,"All Your Bloody Lies (The Filthy Duet, #1)",M.L. Burns,,
you,"Bonded by Thorns (Beasts of the Briar, #1)",Elizabeth Helen,OL34954438W,
you,"The Chalice of the Gods (Percy Jackson and the Olympians: The Senior Year Adventures, #1)",Rick Riordan,OL34025404W,OL42735556M
you,"The Road of Bones (The Ashen, #1)",Demi Winters,OL38391689W,
you,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,OL2707183W,OL7829766M
you,"Empire of the Vampire (Empire of the Vampire, #1)",Jay Kristoff,OL24210358W,OL31985478M
you,"A ​Court of Silver Flames (A Court of Thorns and Roses, #5)",Sarah J. Maas,OL21703979W,OL29889699M
you,Theo of Golden,Allen  Levi,OL36475397W,OL60925324M
you,The Code of You,Sabrina Hoffmann,,
you,How to Kill a Witch: The Patriarchy's Guide to Silencing Women,Zoe Venditozzi,OL42438661W,OL57585180M
you,A Stage Set for Villains,Shannon J. Spann,OL44869505W,
you,"Mate (Bride, #2)",Ali Hazelwood,OL44250916W,OL60745136M
you,"Half City (Harker Academy, #1)",Kate  Golden,OL45051915W,OL61454140M
you,"Daggermouth (The Heart, #1)",H.M.  Wolfe,OL44956458W,
you,How to Kill a Guy in Ten Dates,Shailee Thompson,OL45051977W,OL61454213M
you,Women of a Promiscuous Nature,Donna Everhart,OL45409374W,OL61877801M
you,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,OL1963268W,OL7824641M
you,"A Court of Frost and Starlight (A Court of Thorns and Roses, #4)",Sarah J. Maas,OL19655889W,OL29858945M
you,"Crown Me Yours (Heartstring Duet, #2)",Liv Zander,OL45588470W,
you,"Crown Me Dead (Heartstring Duet, #1)",Liv Zander,OL45155793W,OL61577838M
you,"A Heart of Desire and Deceit (The Choosing Chronicles, #2)",Elayna R. Gallea,,
you,"A Curse of Stars and Storms (The Choosing Chronicles, #3)",Elayna R. Gallea,,
you,"A Game of Love and Betrayal (The Choosing Chronicles, #1)",Elayna R. Gallea,,
you,"Because I Killed Him (The Nine Gentlemen, #1)",Edith Birde,OL45689624W,
you,The Starving Saints,Caitlin  Starling,OL42426081W,
you,The Keyhole,Gigi Styx,,
you,"I Will Break You (Pen Pals Duet, #1)",Gigi Styx,OL42364704W,
you,"Shield of Sparrows (Shield of Sparrows, #1)",Devney Perry,OL42483262W,OL57653590M
you,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,OL19352982W,OL39419296M
you,"Dead of Night (Thorne Hill, #1)",Emily Goodwin,OL20112723W,
you,Where the Dead Wait,Ally Wilkes,OL35765521W,OL48279883M
you,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,OL17791167W,OL39453648M
you,"Psycho Shifters (Cruel Shifterverse, #1)",Jasmine Mas,OL38047757W,
you,"Trial of the Sun Queen (Artefacts of Ouranos, #1)",Nisha J. Tuli,OL31299169W,OL49276560M
you,"When the Moon Hatched (Moonfall, #1)",Sarah A. Parker,OL38010057W,
you,"Fearless (The Powerless Trilogy, #3)",Lauren  Roberts,OL42487406W,OL57660061M
you,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,OL17625829W,OL39442305M
you,"Moon Called (Mercy Thompson, #1)",Patricia Briggs,OL5682781W,OL25442406M
you,"Magic Bites (Kate Daniels, #1)",Ilona Andrews,OL8126408W,
you,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,OL17718538W,
you,Wife Shaped Bodies,Laura Cranehill,,
you,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,OL17914663W,
you,Murder Bot: The Novel: A Thriller Where the Story Wrote Itself Murder Followed By Sugar Gay Isber McMillan (Talk to Your Tools™ A Series on Working with Chat Bots),Sugar Gay Isber McMillan,,
you,The Warded Man (Demon Cycle #1),Peter V. Brett,OL13691921W,OL23120289M
you,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,OL17367560W,
you,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,OL17546674W,OL39343070M
you,Murderbot Diaries Collection Complete Hardcover Series Set (The Murderbot Diaries #1-6),Martha Wells,OL42556524W,
you,End of the Forest (Fae and Shadow #1),Zora Fox,OL32523620W,
you,When the Tides Held the Moon,Venessa Vida Kelley,OL42407319W,OL57536501M
you,"Blood Bound (Cursed Covenant, #1)",Ellis Hunter,,
you,"The Exorcism of Faeries (Morbid Realities, #1)",J.L. Vampa,,
you,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,OL16809980W,OL39419295M
you,The Drowning Woman,Robyn Harding,OL31141322W,OL42769743M
you,"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco,OL21676651W,OL29486282M
you,"Land of Wolves: Revelations (Land of Wolves, #1)",Invi Wright,,
you,"The Midnight Train (The Midnight World, #2)",Matt Haig,OL45341675W,
you,"The Midnight Library (The Midnight World, #1)",Matt Haig,OL20965973W,OL61174737M
you,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,OL16607146W,OL39430939M
you,City of Iron and Ivy,Thomas Kent West,,
you,"The Wicked Sea (The Wicked Sea, #1)",Jordan Stephanie Gray,,
you,"Long Live (The Elementals of Iona, #1)",V.B. Lacey,,
you,"Feathers So Vicious (Court of Ravens, #1)",Liv Zander,OL36324203W,
you,"A Soul to Keep (Duskwalker Brides, #1)",Opal Reyne,OL28215457W,
you,Court of Heathens (Courts and Kings #4),K.A. Knight,OL38977225W,
you,"Marked by Masks and Secrets (Everlasting Possession, #1)",Maggie Sunseri,OL45915811W,
you,"Poison Study (Study, #1)",Maria V. Snyder,OL8032275W,OL8081450M
you,"Shadow Study (Soulfinders, #1; Study, #4)",Maria V. Snyder,OL21561458W,
you,Conform (The Conform Series),Ariel Sullivan,OL42409476W,
you,"A Forbidden Alchemy (The Artisan Trilogy, #1)",Stacey McEwan,OL42549171W,OL57758314M
you,"Game On (Into Darkness, #3)",Navessa Allen,OL45106192W,OL62249945M
you,"Caught Up (Into Darkness, #2)",Navessa Allen,OL42544936W,OL59288246M
you,Wish (Onyx Mist #1),Sara  Flanagan,,
you,"Never Keep (Sins of the Zodiac, #1)",Caroline Peckham,OL38679374W,
you,"Brimstone (Fae & Alchemy, #2)",Callie Hart,OL42445468W,OL57596211M
you,"Rose in Chains (The Evermore Trilogy, #1)",Julie  Soto,OL42432502W,OL57576631M
you,"Alchemy of Secrets (Alchemy of Secrets, #1)",Stephanie Garber,OL44220705W,OL60452349M
you,"Hooked (Never After, #1)",Emily McIntire,OL25555522W,OL39564113M
you,"Her Soul to Take (Souls Trilogy, #1)",Harley Laroux,OL25088743W,
you,"Blood Orange (The Dracula Duet, #1)",Karina Halle,OL34281682W,
you,The Library of Babel,Jorge Luis Borges,OL444807W,OL6783786M
you,A Short Stay in Hell,Steven L. Peck,OL16653954W,OL25330702M
you,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,OL17823218W,OL29858946M
