reader,centroid_similarity
you,0.6824024
you,0.6128579
you,0.6082664
you,0.63444626
you,0.60486287
you,0.650894
you,0.656039
you,0.63206196
you,0.66918516
you,0.64080393
you,0.60663277
you,0.5366749
you,0.6721874
you,0.63620996
you,0.66989696
you,0.6710855
you,0.6684867
you,0.53173244
you,0.6896718
you,0.6615011
you,0.6880752
you,0.7260169
you,0.57031786
you,0.64658904
you,0.7353151
you,0.6403639
you,0.7442326
you,0.6305746
you,0.6289434
you,0.7140723
you,0.6901782
you,0.5237756
you,0.65190226
you,0.6860187
you,0.7277905
you,0.7289558
you,0.7189831
you,0.65013903
you,0.70097107
you,0.6056116
you,0.7215724
you,0.7591842
you,0.6836387
you,0.76294136
you,0.77622175
you,0.7585217
you,0.6269658
you,0.6462642
you,0.6493608
you,0.5585847
you,0.53900623
you,0.73869896
you,0.7213443
you,0.73069614
you,0.6878641
you,0.5948092
you,0.6156323
you,0.67794645
you,0.6624479
you,0.7005856
you,0.7116905
you,0.69665694
you,0.5008626
you,0.71441674
you,0.5535612
you,0.64533514
you,0.6829575
you,0.6392902
you,0.66069734
you,0.68893564
you,0.56636554
you,0.7127807
you,0.6560048
you,0.6666292
you,0.63249314
you,0.5102906
you,0.59373033
you,0.6244378
you,0.53223103
you,0.52811176
you,0.6045324
you,0.7164508
you,0.69486177
you,0.4708997
you,0.56734854
you,0.6953062
you,0.61240196
you,0.59145045
you,0.59440297
you,0.61071265
you,0.64180195
you,0.602793
you,0.5276843
you,0.6824343
you,0.5300681
you,0.6471852
you,0.5866072
you,0.57471865
sarah,0.5843637
sarah,0.42232302
sarah,0.42919916
sarah,0.45982766
sarah,0.51031095
sarah,0.53082097
sarah,0.50063676
sarah,0.5664752
sarah,0.49189904
sarah,0.4702925
sarah,0.45894563
sarah,0.42780817
sarah,0.43045962
sarah,0.4742368
sarah,0.48623562
sarah,0.5535316
sarah,0.4678328
sarah,0.48529026
sarah,0.540451
sarah,0.45555043
sarah,0.60389435
sarah,0.5783659
sarah,0.48338002
sarah,0.6568947
sarah,0.48253042
sarah,0.5028269
sarah,0.51343423
sarah,0.4093235
sarah,0.52574915
sarah,0.5251096
sarah,0.43859476
sarah,0.5640579
sarah,0.21272866
sarah,0.3669585
sarah,0.3884548
sarah,0.32638386
sarah,0.48645204
sarah,0.21059437
sarah,0.18315038
sarah,0.50094634
sarah,0.46185413
sarah,0.25793737
sarah,0.41354865
sarah,0.21256104
sarah,0.54575574
sarah,0.36293057
sarah,0.29329586
sarah,0.28561318
sarah,0.3356132
sarah,0.57404196
sarah,0.6198697
sarah,0.5028145
sarah,0.33936694
sarah,0.56127733
sarah,0.5223682
sarah,0.5458624
