reader,pairwise_similarity
you,0.4364161
you,0.52486444
you,0.4243606
you,0.54370207
you,0.42931712
you,0.42858243
you,0.44436866
you,0.38300216
you,0.44704798
you,0.37800848
you,0.45497608
you,0.45621407
you,0.45554423
you,0.42413598
you,0.40957886
you,0.40292424
you,0.4212634
you,0.49424446
you,0.5201372
you,0.4570548
you,0.45768905
you,0.49565747
you,0.5496967
you,0.4476334
you,0.45329574
you,0.44331604
you,0.44482714
you,0.44018507
you,0.50139606
you,0.48543167
you,0.30215892
you,0.39483833
you,0.45789585
you,0.5362531
you,0.49478817
you,0.47982827
you,0.43776226
you,0.52556515
you,0.5060415
you,0.4777384
you,0.5345775
you,0.47738722
you,0.45851976
you,0.4781744
you,0.4938779
you,0.37828928
you,0.48925203
you,0.5192065
you,0.2861871
you,0.3584987
you,0.48731872
you,0.4723572
you,0.5174787
you,0.43190432
you,0.33142173
you,0.39911586
you,0.33986032
you,0.44618917
you,0.55350804
you,0.4155644
you,0.44650358
you,0.4240582
you,0.44258624
you,0.35474032
you,0.35463038
you,0.46402895
you,0.42799905
you,0.35050753
you,0.46454537
you,0.3746535
you,0.43871337
you,0.44055152
you,0.45409876
you,0.3420839
you,0.48043996
you,0.31998777
you,0.4082356
you,0.38815907
you,0.36651626
you,0.34259462
you,0.44157463
you,0.40686738
you,0.22996306
you,0.29109508
you,0.4929125
you,0.4474865
you,0.35128433
you,0.36998987
you,0.47018403
you,0.4119259
you,0.49051005
you,0.34660682
you,0.49878293
you,0.361179
you,0.4689148
you,0.38292092
you,0.46141595
you,0.3945393
you,0.3197537
you,0.3454353
you,0.44619846
you,0.8570007
you,0.9072434
you,0.4437172
you,0.90133125
you,0.3444489
you,0.35155815
you,0.3819189
you,0.4004503
you,0.39405137
you,0.4285751
you,0.39166367
you,0.34991485
you,0.39484975
you,0.39719826
you,0.4010586
you,0.43749034
you,0.33144566
you,0.38157952
you,0.44128382
you,0.37650967
you,0.44113642
you,0.37300658
you,0.38445354
you,0.3796401
you,0.40938824
you,0.36951536
you,0.36130077
you,0.31283203
you,0.3095314
you,0.33747667
you,0.38758636
you,0.23929021
you,0.29975438
you,0.376078
you,0.38640404
you,0.3479017
you,0.44627273
you,0.42605865
you,0.4658505
you,0.44680333
you,0.3520572
you,0.39575416
you,0.3553026
you,0.29668623
you,0.34848696
you,0.45394582
you,0.4250149
you,0.491351
you,0.38257918
you,0.372931
you,0.35403714
you,0.46449482
you,0.4159342
you,0.36585677
you,0.38218215
you,0.38941413
you,0.33163965
you,0.44285464
you,0.31912884
you,0.36624253
you,0.38277948
you,0.3632623
you,0.40371323
you,0.3394468
you,0.32360446
you,0.43276897
you,0.34576285
you,0.40411043
you,0.3157524
you,0.26051447
you,0.34436184
you,0.36241812
you,0.28014436
you,0.28286138
you,0.34013796
you,0.464657
you,0.45218682
you,0.37302047
you,0.29419988
you,0.37672073
you,0.3344463
you,0.33327562
you,0.3064143
you,0.37206817
you,0.3221712
you,0.34736273
you,0.42468727
you,0.4175998
you,0.28601247
you,0.39473072
you,0.3454752
you,0.26016957
you,0.32065374
you,0.6245082
you,0.3827898
you,0.40076593
you,0.38033867
you,0.38715714
you,0.40124398
you,0.3608708
you,0.23412094
you,0.42495784
you,0.3614722
you,0.33121115
you,0.3336951
you,0.33829832
you,0.34289157
you,0.35856736
you,0.51072407
you,0.46289486
you,0.4875651
you,0.26806536
you,0.5105005
you,0.4452101
you,0.390589
you,0.46053877
you,0.4119468
you,0.4045657
you,0.4720661
you,0.4490981
you,0.26034743
you,0.3786578
you,0.46769065
you,0.47111067
you,0.47350234
you,0.44653395
you,0.34519494
you,0.47020593
you,0.49574238
you,0.4181398
you,0.46128252
you,0.43118083
you,0.48148805
you,0.43942976
you,0.4386831
you,0.3410741
you,0.52261734
you,0.47592986
you,0.32433915
you,0.29581186
you,0.5092834
you,0.48125935
you,0.41860646
you,0.39319405
you,0.26838067
you,0.3629873
you,0.30218238
you,0.40976936
you,0.44146946
you,0.38235575
you,0.44631886
you,0.4030785
you,0.41216373
you,0.28508478
you,0.30146417
you,0.53875625
you,0.27297077
