k,silhouette_mean,silhouette_std,stability_ari_mean,min_cluster_size,min_cluster_pct
6,0.0343606062233448,0.0001310449775718457,0.9407357028404857,132,0.03712035995500562
7,0.029361418758829434,0.0002710302922797489,0.7910984208033387,132,0.03712035995500562
8,0.02880995472272237,0.0002399659879016839,0.8942872128606351,131,0.03683914510686164
9,0.030538057287534077,0.00017530507808793188,0.7517357104621282,75,0.02109111361079865
10,0.030800865963101387,0.0011770461985507732,0.6370656618457404,97,0.027277840269966255
11,0.030919105435411137,0.0005162968494565325,0.6413681048850616,85,0.023903262092238472
12,0.03021940030157566,0.0003312980509550592,0.5817220310374352,64,0.01799775028121485
13,0.03003217838704586,0.0006841277055113739,0.5563251593541095,83,0.023340832395950507
14,0.03010637251039346,0.00035661705237142614,0.6807735389348692,59,0.016591676040494937
15,0.028875809783736866,0.0007397845214782803,0.49694969826585467,64,0.01799775028121485
16,0.02782977558672428,0.000634722859372195,0.5081556401147507,57,0.016029246344206972
17,0.028652238349119823,0.0008422737720378981,0.4647486416628085,54,0.015185601799775027
18,0.027484108383456867,0.0005533213964972193,0.43409009840264523,53,0.014904386951631047
