reader,attribute,book_count,positive_count,negative_count,neutral_count,observed_count,intent_count,preference_rate,exposure_rate,intent_rate,evidence_level
you,new york times bestseller,80,39,1,40,40,25,0.975,0.5,0.3125,preference_evidence
you,fantasy,72,26,1,45,28,34,0.9629629629629629,0.3888888888888889,0.4722222222222222,preference_evidence
you,fiction fantasy general,55,10,0,45,10,39,1.0,0.18181818181818182,0.7090909090909091,preference_evidence
you,romance,47,10,1,36,12,26,0.9090909090909091,0.2553191489361702,0.5531914893617021,preference_evidence
you,magic,42,15,0,27,16,22,1.0,0.38095238095238093,0.5238095238095238,preference_evidence
you,american literature,39,16,0,23,16,19,1.0,0.41025641025641024,0.48717948717948717,preference_evidence
you,fantasy fiction,36,19,0,17,20,8,1.0,0.5555555555555556,0.2222222222222222,preference_evidence
you,fiction romance general,29,2,1,26,3,25,0.6666666666666666,0.10344827586206896,0.8620689655172413,preference_evidence
you,children's fiction,26,18,0,8,19,3,1.0,0.7307692307692307,0.11538461538461539,preference_evidence
you,romans nouvelles,26,14,0,12,14,6,1.0,0.5384615384615384,0.23076923076923078,preference_evidence
you,fiction fantasy epic,23,10,0,13,10,11,1.0,0.43478260869565216,0.4782608695652174,preference_evidence
you,new york times reviewed,22,10,0,12,11,7,1.0,0.5,0.3181818181818182,preference_evidence
you,adult,21,4,0,17,5,13,1.0,0.23809523809523808,0.6190476190476191,preference_evidence
you,english literature,21,8,0,13,8,10,1.0,0.38095238095238093,0.47619047619047616,preference_evidence
you,juvenile fiction,21,13,0,8,13,2,1.0,0.6190476190476191,0.09523809523809523,preference_evidence
you,large type books,20,13,0,7,13,5,1.0,0.65,0.25,preference_evidence
you,science fiction,20,9,0,11,9,9,1.0,0.45,0.45,preference_evidence
you,mystery,18,11,0,7,11,4,1.0,0.6111111111111112,0.2222222222222222,preference_evidence
you,contemporary,16,5,0,11,5,6,1.0,0.3125,0.375,preference_evidence
you,romantasy,15,1,0,14,2,13,1.0,0.13333333333333333,0.8666666666666667,preference_evidence
you,fantasy romance,14,1,0,13,2,12,1.0,0.14285714285714285,0.8571428571428571,preference_evidence
you,fiction science fiction general,14,5,0,9,5,7,1.0,0.35714285714285715,0.5,preference_evidence
you,fiction thrillers suspense,14,7,1,6,8,1,0.875,0.5714285714285714,0.07142857142857142,preference_evidence
you,enemies to lovers,13,3,1,9,4,9,0.75,0.3076923076923077,0.6923076923076923,preference_evidence
you,fiction general,13,4,1,8,5,7,0.8,0.38461538461538464,0.5384615384615384,preference_evidence
you,murder,13,8,0,5,8,2,1.0,0.6153846153846154,0.15384615384615385,preference_evidence
you,thriller,13,8,1,4,9,2,0.8888888888888888,0.6923076923076923,0.15384615384615385,preference_evidence
you,collectionid eaneschallenge,12,11,0,1,11,1,1.0,0.9166666666666666,0.08333333333333333,preference_evidence
you,dark romance,12,1,1,10,2,9,0.5,0.16666666666666666,0.75,preference_evidence
you,reading level-grade 11,12,8,1,3,9,2,0.8888888888888888,0.75,0.16666666666666666,preference_evidence
