reader,cluster_id,book_count,positive_count,negative_count,observed_count,intent_count,preference_rate,exposure_rate,intent_rate
you,0,206,45,2,49,146,0.9574468085106383,0.23786407766990292,0.7087378640776699
you,1,44,16,1,19,16,0.9411764705882353,0.4318181818181818,0.36363636363636365
you,2,5,0,0,1,3,,0.2,0.6
you,3,78,34,0,35,32,1.0,0.44871794871794873,0.41025641025641024
you,4,26,4,1,5,16,0.8,0.19230769230769232,0.6153846153846154
sarah,0,168,24,3,29,132,0.8888888888888888,0.17261904761904762,0.7857142857142857
sarah,1,83,16,1,17,61,0.9411764705882353,0.20481927710843373,0.7349397590361446
sarah,2,96,18,0,18,73,1.0,0.1875,0.7604166666666666
sarah,3,266,81,10,91,136,0.8901098901098901,0.34210526315789475,0.5112781954887218
sarah,4,589,132,12,145,397,0.9166666666666666,0.2461799660441426,0.6740237691001698
sarah,5,129,10,0,10,2,1.0,0.07751937984496124,0.015503875968992248
shannon,0,172,33,1,36,131,0.9705882352941176,0.20930232558139536,0.7616279069767442
shannon,1,755,194,9,206,457,0.9556650246305419,0.2728476821192053,0.6052980132450331
shannon,2,154,39,5,44,87,0.8863636363636364,0.2857142857142857,0.564935064935065
shannon,3,134,44,1,45,78,0.9777777777777777,0.3358208955223881,0.582089552238806
shannon,4,648,197,13,214,351,0.9380952380952381,0.33024691358024694,0.5416666666666666
shannon,5,3,0,0,0,3,,0.0,1.0
