reader,selected_k,interest_number,interest_rank,book_index,source_book_id,title,author,user_rating,interest_similarity
you,5,1,1,115,https://www.goodreads.com/review/show/8339367460?utm_medium=api&utm_source=rss,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4,0.9120439887046814
you,5,1,2,94,https://www.goodreads.com/review/show/8548823314?utm_medium=api&utm_source=rss,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,5,0.9012750387191772
you,5,1,3,89,https://www.goodreads.com/review/show/8596407548?utm_medium=api&utm_source=rss,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,5,0.8941746950149536
you,5,1,4,102,https://www.goodreads.com/review/show/8339368121?utm_medium=api&utm_source=rss,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4,0.8855592012405396
you,5,1,5,140,https://www.goodreads.com/review/show/8339367343?utm_medium=api&utm_source=rss,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,5,0.8802193999290466
you,5,1,6,109,https://www.goodreads.com/review/show/8339368038?utm_medium=api&utm_source=rss,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,5,0.871527910232544
you,5,1,7,75,https://www.goodreads.com/review/show/8339367701?utm_medium=api&utm_source=rss,"A Court of Frost and Starlight (A Court of Thorns and Roses, #4)",Sarah J. Maas,4,0.8704888820648193
you,5,1,8,64,https://www.goodreads.com/review/show/8339367570?utm_medium=api&utm_source=rss,"A ​Court of Silver Flames (A Court of Thorns and Roses, #5)",Sarah J. Maas,5,0.8704372644424438
you,5,1,9,139,https://www.goodreads.com/review/show/8339367406?utm_medium=api&utm_source=rss,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,5,0.8695071935653687
you,5,1,10,86,https://www.goodreads.com/review/show/8548823350?utm_medium=api&utm_source=rss,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,5,0.852912962436676
you,5,2,1,335,https://www.goodreads.com/review/show/1869931667?utm_medium=api&utm_source=rss,The Bell Jar,Sylvia Plath,5,0.7520499229431152
you,5,2,2,213,https://www.goodreads.com/review/show/8339348371?utm_medium=api&utm_source=rss,Tilt,Emma Pattee,5,0.7472901344299316
you,5,2,3,297,https://www.goodreads.com/review/show/3610762155?utm_medium=api&utm_source=rss,The Lions of Fifth Avenue,Fiona  Davis,5,0.7436416745185852
you,5,2,4,301,https://www.goodreads.com/review/show/3591636902?utm_medium=api&utm_source=rss,Fifty Words for Rain,Asha Lemmie,5,0.7415072321891785
