k,silhouette_score,reader,fold
2,0.13300718367099762,sarah,1
3,0.12135688215494156,sarah,1
4,0.12219904363155365,sarah,1
5,0.08658148348331451,sarah,1
6,0.08838557451963425,sarah,1
2,0.12369901686906815,sarah,2
3,0.12126269191503525,sarah,2
4,0.13248279690742493,sarah,2
5,0.09819495677947998,sarah,2
6,0.09060759097337723,sarah,2
2,0.11867351830005646,sarah,3
3,0.11073483526706696,sarah,3
4,0.0877075269818306,sarah,3
5,0.09431418031454086,sarah,3
6,0.11391717940568924,sarah,3
2,0.12803353369235992,sarah,4
3,0.08302909880876541,sarah,4
4,0.10044445097446442,sarah,4
5,0.10405050218105316,sarah,4
6,0.09067782014608383,sarah,4
2,0.12802866101264954,sarah,5
3,0.11411749571561813,sarah,5
4,0.12971502542495728,sarah,5
5,0.12228156626224518,sarah,5
6,0.09755630046129227,sarah,5
