k,silhouette_score,reader,fold
2,0.05561977997422218,shannon,1
3,0.04652337357401848,shannon,1
4,0.05347613990306854,shannon,1
5,0.045932479202747345,shannon,1
6,0.04494365304708481,shannon,1
2,0.05570647120475769,shannon,2
3,0.04922721907496452,shannon,2
4,0.044673290103673935,shannon,2
5,0.05191483348608017,shannon,2
6,0.05727294459939003,shannon,2
2,0.057228587567806244,shannon,3
3,0.04889677092432976,shannon,3
4,0.0492812842130661,shannon,3
5,0.05378483608365059,shannon,3
6,0.05343921482563019,shannon,3
2,0.05898582935333252,shannon,4
3,0.04888388141989708,shannon,4
4,0.04615122824907303,shannon,4
5,0.0495806522667408,shannon,4
6,0.05210430920124054,shannon,4
2,0.0583159364759922,shannon,5
3,0.04872480779886246,shannon,5
4,0.05814681947231293,shannon,5
5,0.05122491344809532,shannon,5
6,0.04350072145462036,shannon,5
