k,silhouette_score,reader,fold
2,0.060948945581912994,you,1
3,0.07659752666950226,you,1
4,0.09725776314735413,you,1
5,0.10162078589200974,you,1
6,0.10379800945520401,you,1
2,0.06283167004585266,you,2
3,0.07751309871673584,you,2
4,0.04933988302946091,you,2
5,0.08981189131736755,you,2
6,0.0959731936454773,you,2
2,0.06657516956329346,you,3
3,0.06460133194923401,you,3
4,0.08100742846727371,you,3
5,0.06738549470901489,you,3
6,0.06644835323095322,you,3
2,0.06607940793037415,you,4
3,0.062195681035518646,you,4
4,0.07125715911388397,you,4
5,0.09057608991861343,you,4
6,0.11410070955753326,you,4
2,0.06550858169794083,you,5
3,0.05121948570013046,you,5
4,0.07476208359003067,you,5
5,0.08029267191886902,you,5
6,0.087473563849926,you,5
