reader,selected_k,interest_number,interest_rank,book_index,source_book_id,title,author,user_rating,interest_similarity
you,2,1,1,86,https://www.goodreads.com/review/show/8548823350?utm_medium=api&utm_source=rss,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,5,0.7663385272026062
you,2,1,2,102,https://www.goodreads.com/review/show/8339368121?utm_medium=api&utm_source=rss,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4,0.7536648511886597
you,2,1,3,75,https://www.goodreads.com/review/show/8339367701?utm_medium=api&utm_source=rss,"A Court of Frost and Starlight (A Court of Thorns and Roses, #4)",Sarah J. Maas,4,0.7469788789749146
you,2,1,4,53,https://www.goodreads.com/review/show/8734454712?utm_medium=api&utm_source=rss,"Dawn of the North (The Ashen, #3)",Demi Winters,5,0.7457765340805054
you,2,1,5,64,https://www.goodreads.com/review/show/8339367570?utm_medium=api&utm_source=rss,"A ​Court of Silver Flames (A Court of Thorns and Roses, #5)",Sarah J. Maas,5,0.7454663515090942
you,2,1,6,94,https://www.goodreads.com/review/show/8548823314?utm_medium=api&utm_source=rss,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,5,0.7427493929862976
you,2,1,7,115,https://www.goodreads.com/review/show/8339367460?utm_medium=api&utm_source=rss,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4,0.7357391119003296
you,2,1,8,139,https://www.goodreads.com/review/show/8339367406?utm_medium=api&utm_source=rss,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,5,0.7328848242759705
you,2,1,9,109,https://www.goodreads.com/review/show/8339368038?utm_medium=api&utm_source=rss,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,5,0.730191707611084
you,2,1,10,140,https://www.goodreads.com/review/show/8339367343?utm_medium=api&utm_source=rss,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,5,0.724437952041626
you,2,2,1,349,https://www.goodreads.com/review/show/1868853931?utm_medium=api&utm_source=rss,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,5,0.7005816698074341
you,2,2,2,114,https://www.goodreads.com/review/show/8504212480?utm_medium=api&utm_source=rss,"The Midnight Library (The Midnight World, #1)",Matt Haig,5,0.6829257011413574
you,2,2,3,317,https://www.goodreads.com/review/show/3299978559?utm_medium=api&utm_source=rss,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,5,0.6772631406784058
you,2,2,4,336,https://www.goodreads.com/review/show/1948249322?utm_medium=api&utm_source=rss,Big Little Lies,Liane Moriarty,4,0.6757059097290039
you,2,2,5,343,https://www.goodreads.com/review/show/1868865833?utm_medium=api&utm_source=rss,All the Light We Cannot See,Anthony Doerr,4,0.6726877689361572
you,2,2,6,335,https://www.goodreads.com/review/show/1869931667?utm_medium=api&utm_source=rss,The Bell Jar,Sylvia Plath,5,0.6692776679992676
you,2,2,7,216,https://www.goodreads.com/review/show/8339347856?utm_medium=api&utm_source=rss,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,5,0.6572496891021729
you,2,2,8,150,https://www.goodreads.com/review/show/8342513870?utm_medium=api&utm_source=rss,"Lights Out (Into Darkness, #1)",Navessa Allen,5,0.657052218914032
you,2,2,9,342,https://www.goodreads.com/review/show/1868867068?utm_medium=api&utm_source=rss,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4,0.6543160080909729
you,2,2,10,328,https://www.goodreads.com/review/show/2076760419?utm_medium=api&utm_source=rss,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,5,0.6479765176773071
sarah,2,1,1,724,https://www.goodreads.com/review/show/6689982439?utm_medium=api&utm_source=rss,"Not in Love (Not in Love, #1)",Ali Hazelwood,4,0.7345672249794006
sarah,2,1,2,897,https://www.goodreads.com/review/show/4903651580?utm_medium=api&utm_source=rss,"Beautiful Stranger (Beautiful Bastard, #2)",Christina Lauren,4,0.7302775382995605
sarah,2,1,3,1116,https://www.goodreads.com/review/show/3981931723?utm_medium=api&utm_source=rss,"Take a Hint, Dani Brown (The Brown Sisters, #2)",Talia Hibbert,4,0.7188521027565002
sarah,2,1,4,1227,https://www.goodreads.com/review/show/3776438769?utm_medium=api&utm_source=rss,The Hating Game,Sally  Thorne,4,0.7115350961685181
sarah,2,1,5,642,https://www.goodreads.com/review/show/5209859857?utm_medium=api&utm_source=rss,Exes and O's (The Influencer #2),Amy  Lea,4,0.7057483196258545
sarah,2,1,6,727,https://www.goodreads.com/review/show/6509850524?utm_medium=api&utm_source=rss,Same Time Next Year,Tessa Bailey,4,0.6989034414291382
sarah,2,1,7,1114,https://www.goodreads.com/review/show/3981937561?utm_medium=api&utm_source=rss,"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert,4,0.6956992149353027
sarah,2,1,8,1248,https://www.goodreads.com/review/show/3776404526?utm_medium=api&utm_source=rss,"Fix Her Up (Hot & Hammered, #1)",Tessa Bailey,4,0.6920082569122314
sarah,2,1,9,1218,https://www.goodreads.com/review/show/3776443801?utm_medium=api&utm_source=rss,"Shopaholic to the Rescue (Shopaholic, #8)",Sophie Kinsella,4,0.6857591867446899
sarah,2,1,10,1234,https://www.goodreads.com/review/show/3776426463?utm_medium=api&utm_source=rss,"Party of Two (The Wedding Date, #5)",Jasmine Guillory,4,0.6845735311508179
sarah,2,2,1,1276,https://www.goodreads.com/review/show/3222335156?utm_medium=api&utm_source=rss,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,4,0.7730194926261902
sarah,2,2,2,1297,https://www.goodreads.com/review/show/3222333122?utm_medium=api&utm_source=rss,Matilda,Roald Dahl,5,0.7448383569717407
sarah,2,2,3,663,https://www.goodreads.com/review/show/3222332998?utm_medium=api&utm_source=rss,An Abundance of Katherines,John  Green,4,0.7201159000396729
sarah,2,2,4,1201,https://www.goodreads.com/review/show/3776455666?utm_medium=api&utm_source=rss,The Outsiders,S.E. Hinton,4,0.7189803123474121
sarah,2,2,5,1181,https://www.goodreads.com/review/show/3776458817?utm_medium=api&utm_source=rss,"Little Women (Little Women, #1)",Louisa May Alcott,5,0.7157098054885864
