k,silhouette,min_cluster_size,max_cluster_size,mean_cluster_size,cluster_size_std,mean_centroid_similarity,max_centroid_similarity,recall_at_10,recall_at_25,recall_at_50,mean_held_out_similarity,median_held_out_similarity,mean_rank_percentile,median_rank_percentile,training_positive_books,held_out_positive_books,reader,fold
2,0.11889833956956863,108,116,112.0,4.0,0.6866719126701355,0.6866719126701355,0.017543859649122806,0.05263157894736842,0.08771929824561403,0.5612891912460327,0.58769291639328,0.6120699218688093,0.6757000903342367,224,57,sarah,1
3,0.11180698126554489,52,112,74.66666666666667,26.599916457680003,0.6897518634796143,0.7576476335525513,0.017543859649122806,0.03508771929824561,0.12280701754385964,0.5691843628883362,0.588546097278595,0.6196294711485126,0.6811201445347788,224,57,sarah,1
4,0.09209679067134857,20,93,56.0,26.22022120425379,0.6465926766395569,0.7379776239395142,0.017543859649122806,0.05263157894736842,0.08771929824561403,0.5798406004905701,0.5989254713058472,0.5891218561308419,0.6314363143631436,224,57,sarah,1
5,0.08870066702365875,8,80,44.8,26.217551373078305,0.5626335740089417,0.825384259223938,0.0,0.017543859649122806,0.017543859649122806,0.5802038908004761,0.6010562777519226,0.5588995071237262,0.6052393857271906,224,57,sarah,1
6,0.09830780327320099,8,84,37.333333333333336,26.41758673476608,0.5374122262001038,0.7959403395652771,0.0,0.017543859649122806,0.017543859649122806,0.5892204642295837,0.6042087078094482,0.5692958683972804,0.6233062330623307,224,57,sarah,1
7,0.10684347152709961,6,77,32.0,26.67797379326784,0.4881536364555359,0.7890563011169434,0.017543859649122806,0.05263157894736842,0.07017543859649122,0.5986361503601074,0.6145973205566406,0.5893437296946069,0.6404697380307136,224,57,sarah,1
8,0.08836579322814941,8,59,28.0,16.24807680927192,0.5106614828109741,0.8492105007171631,0.0,0.017543859649122806,0.03508771929824561,0.5939953923225403,0.6029937863349915,0.5667126261905894,0.6034327009936766,224,57,sarah,1
9,0.08302227407693863,8,44,24.88888888888889,11.219471610101634,0.5301291942596436,0.8625988960266113,0.0,0.017543859649122806,0.017543859649122806,0.5960968136787415,0.6043763756752014,0.5671722214298166,0.5989159891598916,224,57,sarah,1
10,0.10168828070163727,5,60,22.4,17.738094598913378,0.48412373661994934,0.8416438698768616,0.0,0.03508771929824561,0.05263157894736842,0.5996626019477844,0.6058796644210815,0.5764433667728489,0.6115627822944896,224,57,sarah,1
2,0.12741409242153168,106,119,112.5,6.5,0.6636298298835754,0.6636298298835754,0.03571428571428571,0.05357142857142857,0.07142857142857142,0.5650554895401001,0.5703433156013489,0.619429733918884,0.6216094032549729,225,56,sarah,2
3,0.1286744922399521,51,113,75.0,27.17842281418601,0.6669513583183289,0.7241039276123047,0.03571428571428571,0.07142857142857142,0.125,0.574065625667572,0.571860134601593,0.6286973650219582,0.6188969258589512,225,56,sarah,2
4,0.13913223147392273,19,116,56.25,39.58771905528279,0.5234792232513428,0.6146212816238403,0.05357142857142857,0.08928571428571429,0.125,0.5762266516685486,0.5726161003112793,0.6174115215706537,0.6089511754068717,225,56,sarah,2
5,0.0849105641245842,21,63,45.0,15.962455951387932,0.594473659992218,0.8516480922698975,0.05357142857142857,0.10714285714285714,0.14285714285714285,0.587590754032135,0.5853226780891418,0.6234661586153448,0.6229656419529838,225,56,sarah,2
6,0.08782560378313065,18,68,37.5,20.61350689879494,0.5474752187728882,0.8686666488647461,0.05357142857142857,0.10714285714285714,0.125,0.5968596339225769,0.5973624587059021,0.6226104365796952,0.632007233273056,225,56,sarah,2
7,0.09878673404455185,8,70,32.142857142857146,21.813682281858732,0.518629789352417,0.841127872467041,0.03571428571428571,0.05357142857142857,0.14285714285714285,0.598484456539154,0.595802903175354,0.5938710927408938,0.5840867992766727,225,56,sarah,2
8,0.08128822594881058,6,56,28.125,14.003905705195248,0.5404642820358276,0.8585607409477234,0.03571428571428571,0.07142857142857142,0.08928571428571429,0.6103766560554504,0.5934804677963257,0.594678377680186,0.5623869801084991,225,56,sarah,2
9,0.0988832414150238,7,61,25.0,17.75762746915627,0.46919476985931396,0.8638613820075989,0.05357142857142857,0.10714285714285714,0.14285714285714285,0.6010735630989075,0.6012881994247437,0.6052376646861276,0.6057866184448464,225,56,sarah,2
10,0.08536402881145477,8,58,22.5,15.14100392972672,0.49544262886047363,0.8743537664413452,0.05357142857142857,0.10714285714285714,0.16071428571428573,0.6004191637039185,0.599288821220398,0.6195588995091708,0.6365280289330922,225,56,sarah,2
2,0.12338262051343918,103,122,112.5,9.5,0.68408203125,0.68408203125,0.0,0.017857142857142856,0.10714285714285714,0.5389879941940308,0.5635313391685486,0.5576078532678894,0.5899638336347197,225,56,sarah,3
3,0.12183871120214462,44,114,75.0,29.13188402192118,0.6795737147331238,0.7218196392059326,0.017857142857142856,0.05357142857142857,0.08928571428571429,0.5502035021781921,0.5762838125228882,0.5714608628261431,0.6401446654611211,225,56,sarah,3
4,0.08808014541864395,19,92,56.25,25.829972899714782,0.65201735496521,0.7514973878860474,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.5597081184387207,0.579349160194397,0.5297565228623095,0.5519891500904159,225,56,sarah,3
5,0.09911806881427765,18,90,45.0,27.040710049848915,0.5933305025100708,0.7336779236793518,0.0,0.017857142857142856,0.05357142857142857,0.5756282806396484,0.5955778956413269,0.5589318005683286,0.6062386980108498,225,56,sarah,3
6,0.08736684918403625,11,75,37.5,23.39337513057917,0.5518345236778259,0.852806568145752,0.017857142857142856,0.07142857142857142,0.10714285714285714,0.5837602019309998,0.5979294776916504,0.5739795918367346,0.6035262206148282,225,56,sarah,3
7,0.08687756210565567,9,61,32.142857142857146,18.51970820063682,0.5675092339515686,0.885324239730835,0.0,0.0,0.017857142857142856,0.5852465033531189,0.6087948083877563,0.5579146215448205,0.6270343580470163,225,56,sarah,3
8,0.08198843896389008,9,62,28.125,16.212938506020432,0.5358107089996338,0.8726595640182495,0.0,0.0,0.03571428571428571,0.5923096537590027,0.6144747734069824,0.5715092999225007,0.6428571428571428,225,56,sarah,3
9,0.06772113591432571,6,54,25.0,15.21694961401777,0.5363508462905884,0.8560160994529724,0.0,0.0,0.017857142857142856,0.5917094349861145,0.5976427793502808,0.5589640919659002,0.5831826401446655,225,56,sarah,3
10,0.05804818496108055,2,58,22.5,17.118703221914913,0.5086134076118469,0.8792003989219666,0.0,0.0,0.03571428571428571,0.5993505120277405,0.6052345037460327,0.5702822268147766,0.6012658227848101,225,56,sarah,3
2,0.1331636905670166,90,135,112.5,22.5,0.6558820009231567,0.6558820009231567,0.017857142857142856,0.03571428571428571,0.07142857142857142,0.5312656164169312,0.5545737147331238,0.541768922758977,0.5632911392405063,225,56,sarah,4
3,0.09127548336982727,23,110,75.0,37.49666651850535,0.6379358768463135,0.706217348575592,0.0,0.0,0.03571428571428571,0.5347346663475037,0.5520325899124146,0.49504327047274604,0.47603978300180827,225,56,sarah,4
4,0.10227023810148239,10,109,56.25,35.21629594378148,0.5787774920463562,0.7659947872161865,0.0,0.0,0.0,0.5468705892562866,0.5693488121032715,0.492056316197365,0.5090415913200723,225,56,sarah,4
5,0.10057668387889862,13,99,45.0,29.939939879699157,0.590121865272522,0.7894048690795898,0.05357142857142857,0.05357142857142857,0.07142857142857142,0.5660804510116577,0.5793029069900513,0.527738310514079,0.5429475587703436,225,56,sarah,4
6,0.09702470898628235,10,72,37.5,23.4574082114798,0.5128827095031738,0.867082953453064,0.0,0.0,0.0,0.5690511465072632,0.5672327876091003,0.5093322138982176,0.47513562386980107,225,56,sarah,4
7,0.09414106607437134,10,62,32.142857142857146,20.642733563643937,0.540840744972229,0.8810439109802246,0.017857142857142856,0.03571428571428571,0.05357142857142857,0.572402834892273,0.5832696557044983,0.5128358305347456,0.5302893309222423,225,56,sarah,4
8,0.09005649387836456,9,45,28.125,14.15483574613284,0.5688493251800537,0.8607698678970337,0.017857142857142856,0.05357142857142857,0.05357142857142857,0.5731731057167053,0.5844436883926392,0.5184868251097907,0.5370705244122965,225,56,sarah,4
9,0.09510784596204758,2,46,25.0,15.1803967156476,0.4737478792667389,0.8542490601539612,0.0,0.05357142857142857,0.05357142857142857,0.5675104856491089,0.5786376595497131,0.5077822268147766,0.5122061482820977,225,56,sarah,4
10,0.10574998706579208,6,63,22.5,16.656830430787245,0.5376173853874207,0.8721877336502075,0.0,0.03571428571428571,0.05357142857142857,0.5786811709403992,0.5816576480865479,0.5237987600103332,0.5180831826401446,225,56,sarah,4
2,0.12532663345336914,101,124,112.5,11.5,0.6746339797973633,0.6746339797973633,0.0,0.017857142857142856,0.10714285714285714,0.5538758039474487,0.5597004294395447,0.5916914234048049,0.5877034358047016,225,56,sarah,5
3,0.12038981169462204,56,111,75.0,25.468935326524086,0.6832893490791321,0.7333096265792847,0.03571428571428571,0.07142857142857142,0.08928571428571429,0.5647560954093933,0.5654754638671875,0.6079985791785069,0.6035262206148282,225,56,sarah,5
4,0.12555518746376038,17,112,56.25,35.78669445478305,0.5773026347160339,0.6351938247680664,0.03571428571428571,0.05357142857142857,0.08928571428571429,0.5716685056686401,0.5680019855499268,0.6107433479721003,0.5899638336347197,225,56,sarah,5
5,0.09774179011583328,15,91,45.0,27.371518043396865,0.5582089424133301,0.8045783638954163,0.03571428571428571,0.08928571428571429,0.125,0.5832033157348633,0.5823307633399963,0.6073688969258589,0.599005424954792,225,56,sarah,5
6,0.09029796719551086,6,86,37.5,26.550266790875504,0.5161018967628479,0.8542196750640869,0.03571428571428571,0.07142857142857142,0.125,0.5846184492111206,0.5867507457733154,0.6213833634719711,0.6378842676311031,225,56,sarah,5
7,0.08886391669511795,8,67,32.142857142857146,21.443804109669475,0.54334557056427,0.8529655933380127,0.03571428571428571,0.05357142857142857,0.07142857142857142,0.5932781100273132,0.5891921520233154,0.564356755360372,0.5632911392405063,225,56,sarah,5
8,0.07976191490888596,11,55,28.125,14.304173342070488,0.5474255084991455,0.8643271923065186,0.03571428571428571,0.05357142857142857,0.125,0.5925694704055786,0.5785102844238281,0.5772733143890468,0.5266726943942134,225,56,sarah,5
9,0.08831154555082321,6,78,25.0,22.005049925465343,0.46454110741615295,0.8786166906356812,0.03571428571428571,0.07142857142857142,0.08928571428571429,0.5976972579956055,0.5924660563468933,0.5678442262981142,0.5736889692585896,225,56,sarah,5
10,0.09918466955423355,7,58,22.5,14.83408237809134,0.5073962807655334,0.8861143589019775,0.03571428571428571,0.05357142857142857,0.08928571428571429,0.6010552644729614,0.5999825596809387,0.5695395246706277,0.589511754068716,225,56,sarah,5
