k,silhouette,min_cluster_size,max_cluster_size,mean_cluster_size,cluster_size_std,mean_centroid_similarity,max_centroid_similarity,recall_at_10,recall_at_25,recall_at_50,mean_held_out_similarity,median_held_out_similarity,mean_rank_percentile,median_rank_percentile,training_positive_books,held_out_positive_books,reader,fold
2,0.05538828670978546,198,207,202.5,4.5,0.8860268592834473,0.8860268592834473,0.0,0.0196078431372549,0.029411764705882353,0.5751712322235107,0.5811637043952942,0.5115083678919891,0.49349760438056123,405,102,shannon,1
3,0.047608692198991776,105,155,135.0,21.602468994692867,0.8601047396659851,0.8771186470985413,0.0,0.00980392156862745,0.0392156862745098,0.5832211375236511,0.5887101292610168,0.5099381299405458,0.48973305954825463,405,102,shannon,1
4,0.040571801364421844,72,161,101.25,35.42156828826189,0.8222055435180664,0.8946651816368103,0.0,0.029411764705882353,0.049019607843137254,0.588591992855072,0.6009722352027893,0.5152662023056999,0.5331964407939767,405,102,shannon,1
5,0.04583895578980446,32,138,81.0,39.909898521544754,0.7796188592910767,0.8846112489700317,0.0,0.0196078431372549,0.0392156862745098,0.5949687361717224,0.596047043800354,0.5298546523332125,0.4989733059548255,405,102,shannon,1
6,0.04494928568601608,27,107,67.5,28.57592226566508,0.7655684947967529,0.8903553485870361,0.0,0.029411764705882353,0.049019607843137254,0.6015380620956421,0.6089432239532471,0.5411348659929406,0.5424366872005476,405,102,shannon,1
7,0.04297374188899994,31,119,57.857142857142854,28.667694966527698,0.7643150091171265,0.8879215717315674,0.0,0.0196078431372549,0.029411764705882353,0.6038705706596375,0.6099131107330322,0.5475231844962489,0.5492813141683779,405,102,shannon,1
8,0.03943965956568718,20,75,50.625,18.44544320421713,0.7592114210128784,0.8792597055435181,0.00980392156862745,0.029411764705882353,0.058823529411764705,0.6059399843215942,0.61216139793396,0.5398397552039296,0.5325119780971936,405,102,shannon,1
9,0.04684438928961754,21,87,45.0,20.837999477450378,0.742129921913147,0.9207897186279297,0.00980392156862745,0.058823529411764705,0.08823529411764706,0.6121909022331238,0.6251658201217651,0.5622726845700635,0.6023271731690623,405,102,shannon,1
10,0.04260442405939102,21,81,40.5,20.397303743387262,0.7380900979042053,0.896092414855957,0.0196078431372549,0.049019607843137254,0.08823529411764706,0.6153932213783264,0.6196633577346802,0.5595750962945069,0.5639972621492129,405,102,shannon,1
2,0.05569364130496979,196,209,202.5,6.5,0.8813939094543457,0.8813939094543457,0.0196078431372549,0.0196078431372549,0.029411764705882353,0.5937824845314026,0.6172599792480469,0.5747138006468844,0.6372347707049966,405,102,shannon,2
3,0.049216896295547485,110,154,135.0,18.457157599876172,0.8555593490600586,0.8644356727600098,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.6006758213043213,0.6243888139724731,0.577102709667029,0.6464750171115674,405,102,shannon,2
4,0.04341147094964981,54,154,101.25,38.58351331851468,0.8087661266326904,0.8814834356307983,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.605466365814209,0.627955436706543,0.5789614956180967,0.649555099247091,405,102,shannon,2
5,0.05190945044159889,31,158,81.0,46.11724189497893,0.7486771941184998,0.8899242877960205,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.6107659339904785,0.6360868215560913,0.5866046623988403,0.6800136892539357,405,102,shannon,2
6,0.05720655247569084,33,130,67.5,38.79325542754393,0.7452791929244995,0.8728762269020081,0.0196078431372549,0.029411764705882353,0.049019607843137254,0.6126624941825867,0.6300082206726074,0.5850545557031849,0.6416837782340863,405,102,shannon,2
7,0.0465150885283947,29,88,57.857142857142854,20.0316076769302,0.7536609172821045,0.896369457244873,0.0196078431372549,0.029411764705882353,0.049019607843137254,0.6152161359786987,0.6324506998062134,0.5859805934694207,0.646132785763176,405,102,shannon,2
8,0.040283698588609695,30,79,50.625,15.353643704345885,0.7667862176895142,0.8858960866928101,0.00980392156862745,0.0392156862745098,0.049019607843137254,0.6168144345283508,0.6295948028564453,0.5810148837084457,0.6177275838466804,405,102,shannon,2
9,0.044673334807157516,20,87,45.0,22.735190539973246,0.7281124591827393,0.8855533599853516,0.00980392156862745,0.029411764705882353,0.029411764705882353,0.6200695633888245,0.6365053653717041,0.5952611023875669,0.6522929500342232,405,102,shannon,2
10,0.0443715900182724,23,63,40.5,15.114562514343575,0.7369029521942139,0.8976667523384094,0.0196078431372549,0.0392156862745098,0.06862745098039216,0.6180787682533264,0.6320523023605347,0.5766598220396989,0.62217659137577,405,102,shannon,2
2,0.05720122903585434,201,205,203.0,2.0,0.8815883994102478,0.8815883994102478,0.019801980198019802,0.039603960396039604,0.04950495049504951,0.5945990681648254,0.6106046438217163,0.5826732673267327,0.6239726027397261,406,101,shannon,3
3,0.056415900588035583,112,173,135.33333333333334,26.886593106767712,0.8524560928344727,0.8618886470794678,0.009900990099009901,0.0297029702970297,0.04950495049504951,0.6002441048622131,0.6174584627151489,0.5810389258103893,0.6232876712328768,406,101,shannon,3
4,0.04919832572340965,32,145,101.5,46.295248136282844,0.7834609150886536,0.8785452842712402,0.009900990099009901,0.0297029702970297,0.0594059405940594,0.6043298244476318,0.6164240837097168,0.5834734843347349,0.6116438356164384,406,101,shannon,3
5,0.0539129301905632,29,146,81.2,44.75444112040726,0.7536662220954895,0.8867126703262329,0.009900990099009901,0.0297029702970297,0.039603960396039604,0.6129270792007446,0.6234837770462036,0.5935779194357792,0.6267123287671232,406,101,shannon,3
6,0.05343513935804367,32,121,67.66666666666667,31.88869531493706,0.7562752962112427,0.8965722918510437,0.009900990099009901,0.019801980198019802,0.0594059405940594,0.6125293374061584,0.6218053102493286,0.5861725213617252,0.6109589041095891,406,101,shannon,3
7,0.05113741382956505,23,96,58.0,24.9284690951645,0.7515517473220825,0.8899617195129395,0.009900990099009901,0.0297029702970297,0.039603960396039604,0.6151217222213745,0.6317610740661621,0.5871083683710837,0.6342465753424658,406,101,shannon,3
8,0.04987621307373047,30,79,50.75,17.93564885918544,0.7527040839195251,0.9028849601745605,0.009900990099009901,0.009900990099009901,0.0297029702970297,0.616863489151001,0.6265144348144531,0.5925335684253358,0.6150684931506849,406,101,shannon,3
9,0.04082498326897621,26,72,45.111111111111114,15.27848483212364,0.7469465732574463,0.9030930399894714,0.009900990099009901,0.019801980198019802,0.039603960396039604,0.620712399482727,0.6317646503448486,0.5913535874135358,0.6102739726027397,406,101,shannon,3
10,0.05088549107313156,23,75,40.6,15.583324420674812,0.7399461269378662,0.8815504312515259,0.009900990099009901,0.009900990099009901,0.0297029702970297,0.6184428930282593,0.6264151930809021,0.5922555269225553,0.6041095890410959,406,101,shannon,3
2,0.05895752087235451,196,210,203.0,7.0,0.8785686492919922,0.8785686492919922,0.009900990099009901,0.039603960396039604,0.09900990099009901,0.5940831303596497,0.5964059829711914,0.5650074596500747,0.5643835616438356,406,101,shannon,4
3,0.04812057316303253,113,154,135.33333333333334,16.937794687883336,0.8568595051765442,0.8627461194992065,0.0,0.0297029702970297,0.06930693069306931,0.6030481457710266,0.6052024364471436,0.5697138206971382,0.5732876712328767,406,101,shannon,4
4,0.063504159450531,31,187,101.5,56.10926839658489,0.7769784331321716,0.8514350652694702,0.0,0.039603960396039604,0.0891089108910891,0.6034616231918335,0.5969848036766052,0.5753492472534925,0.5438356164383562,406,101,shannon,4
5,0.04850544407963753,49,121,81.2,32.35676127179604,0.7831511497497559,0.8852744102478027,0.0,0.039603960396039604,0.07920792079207921,0.6101776361465454,0.6004429459571838,0.5701003662010037,0.5267123287671233,406,101,shannon,4
6,0.05539751797914505,27,119,67.66666666666667,40.13172754262587,0.717629611492157,0.8885133266448975,0.0,0.039603960396039604,0.07920792079207921,0.6127246618270874,0.6030623912811279,0.571409195714092,0.5226027397260273,406,101,shannon,4
7,0.05317505821585655,25,128,58.0,35.14866386405849,0.7184638977050781,0.8882853984832764,0.0297029702970297,0.0594059405940594,0.06930693069306931,0.6162078976631165,0.6105552911758423,0.5733283602332837,0.5417808219178082,406,101,shannon,4
8,0.04908086732029915,20,84,50.75,24.65638862445188,0.7031198143959045,0.8941304683685303,0.039603960396039604,0.0594059405940594,0.06930693069306931,0.6140079498291016,0.6047781705856323,0.5512342330123424,0.5068493150684932,406,101,shannon,4
9,0.0417613610625267,26,94,45.111111111111114,22.516386351299527,0.7421811819076538,0.9054567813873291,0.0,0.0297029702970297,0.09900990099009901,0.618884801864624,0.6145309209823608,0.566275600162756,0.5458904109589041,406,101,shannon,4
10,0.045852936804294586,13,76,40.6,19.484352696458767,0.6905142664909363,0.8884193897247314,0.039603960396039604,0.04950495049504951,0.06930693069306931,0.6206368803977966,0.6175544261932373,0.5619422216194222,0.5547945205479452,406,101,shannon,4
2,0.0583159364759922,192,214,203.0,11.0,0.8755879402160645,0.8755879402160645,0.009900990099009901,0.0297029702970297,0.039603960396039604,0.5892788767814636,0.6033753752708435,0.5548894615488946,0.5842465753424657,406,101,shannon,5
3,0.04872480779886246,98,166,135.33333333333334,28.158282775923837,0.8490820527076721,0.8654294013977051,0.0,0.019801980198019802,0.0297029702970297,0.597538948059082,0.6120472550392151,0.559426285094263,0.5952054794520548,406,101,shannon,5
4,0.05814681947231293,37,152,101.5,48.66466890876789,0.7916362285614014,0.8727989792823792,0.009900990099009901,0.019801980198019802,0.0297029702970297,0.6041205525398254,0.6210075616836548,0.5728129662281297,0.6232876712328768,406,101,shannon,5
5,0.05122491344809532,44,122,81.2,33.92580139068199,0.7994117140769958,0.8701815605163574,0.009900990099009901,0.009900990099009901,0.0297029702970297,0.6081495881080627,0.6214277744293213,0.5698358876983588,0.6082191780821917,406,101,shannon,5
6,0.04350072145462036,33,97,67.66666666666667,27.028791233711427,0.7701456546783447,0.89539635181427,0.0,0.019801980198019802,0.019801980198019802,0.6165063977241516,0.628538966178894,0.5872711243727112,0.6273972602739726,406,101,shannon,5
7,0.04359939694404602,25,97,58.0,23.99404688072201,0.7508462071418762,0.906829833984375,0.0,0.009900990099009901,0.019801980198019802,0.6206501126289368,0.6308345794677734,0.5905940594059407,0.6205479452054794,406,101,shannon,5
8,0.046594198793172836,28,95,50.75,24.953707139421187,0.7461242079734802,0.898408830165863,0.0,0.009900990099009901,0.0297029702970297,0.6234738826751709,0.628477931022644,0.589692119896921,0.5965753424657534,406,101,shannon,5
9,0.03856216371059418,21,85,45.111111111111114,19.874296322662286,0.742669939994812,0.9081323146820068,0.009900990099009901,0.019801980198019802,0.039603960396039604,0.6235716938972473,0.6397372484207153,0.602237895022379,0.6554794520547945,406,101,shannon,5
10,0.03668774664402008,21,72,40.6,14.38888459888396,0.745794415473938,0.8907403945922852,0.009900990099009901,0.019801980198019802,0.04950495049504951,0.6221404671669006,0.630308985710144,0.593184592431846,0.6246575342465753,406,101,shannon,5
