k,silhouette,min_cluster_size,max_cluster_size,mean_cluster_size,cluster_size_std,mean_centroid_similarity,max_centroid_similarity,recall_at_10,recall_at_25,recall_at_50,mean_held_out_similarity,median_held_out_similarity,mean_rank_percentile,median_rank_percentile,training_positive_books,held_out_positive_books,reader,fold
2,0.11777840554714203,35,44,39.5,4.5,0.7219456434249878,0.7219456434249878,0.1,0.15,0.3,0.5588865876197815,0.5634257793426514,0.5148214285714285,0.49999999999999994,79,20,you,1
3,0.11457651108503342,22,35,26.333333333333332,6.128258770283411,0.7128874659538269,0.7775359153747559,0.1,0.2,0.35,0.5769926905632019,0.5896790027618408,0.5626785714285714,0.5875,79,20,you,1
4,0.07498934119939804,12,27,19.75,7.258615570478987,0.6698514819145203,0.7987673282623291,0.15,0.25,0.25,0.5697996020317078,0.5671319961547852,0.525,0.5178571428571428,79,20,you,1
5,0.09018292278051376,2,30,15.8,10.20588065773846,0.5801389217376709,0.7925900220870972,0.15,0.15,0.35,0.5714574456214905,0.5825287103652954,0.5566071428571429,0.5964285714285714,79,20,you,1
6,0.08020151406526566,4,24,13.166666666666666,7.28964257620968,0.6285800933837891,0.7602237462997437,0.2,0.2,0.3,0.5716378092765808,0.5800026059150696,0.5560714285714285,0.5875,79,20,you,1
7,0.06852494925260544,3,18,11.285714285714286,4.948716593053935,0.6044143438339233,0.7797797918319702,0.2,0.2,0.3,0.5766789317131042,0.5584489107131958,0.5491071428571428,0.5142857142857142,79,20,you,1
8,0.05897548422217369,3,15,9.875,4.075460096725276,0.5958784222602844,0.8161668181419373,0.15,0.25,0.3,0.5822323560714722,0.5752913951873779,0.5680357142857143,0.5875,79,20,you,1
9,0.07402915507555008,2,18,8.777777777777779,4.661372658534007,0.5537428259849548,0.8384800553321838,0.15,0.25,0.3,0.5960055589675903,0.5878992080688477,0.6032142857142856,0.6285714285714286,79,20,you,1
10,0.08135896921157837,2,15,7.9,3.753664875824692,0.545414388179779,0.7920898199081421,0.15,0.15,0.3,0.576259970664978,0.5638229250907898,0.5366071428571428,0.55,79,20,you,1
2,0.11025992780923843,36,43,39.5,3.5,0.737648606300354,0.737648606300354,0.05,0.2,0.3,0.5706999897956848,0.5624276995658875,0.5255357142857143,0.4875,79,20,you,2
3,0.11436811089515686,20,35,26.333333333333332,6.342099196813483,0.7053130269050598,0.7378422021865845,0.1,0.2,0.3,0.5787459015846252,0.5783734917640686,0.5482142857142858,0.5321428571428571,79,20,you,2
4,0.09773091971874237,7,32,19.75,10.894379284750462,0.661121666431427,0.7260087728500366,0.1,0.2,0.3,0.5767606496810913,0.5774338245391846,0.5416071428571427,0.5249999999999999,79,20,you,2
5,0.08235950022935867,6,22,15.8,6.144916598294887,0.6511218547821045,0.8067399263381958,0.15,0.2,0.3,0.5893144607543945,0.5952293872833252,0.5792857142857142,0.6339285714285715,79,20,you,2
6,0.07623017579317093,4,21,13.166666666666666,6.517071598672384,0.6037166118621826,0.7836885452270508,0.15,0.2,0.35,0.580401599407196,0.5801188349723816,0.5614285714285714,0.5892857142857143,79,20,you,2
7,0.07245873659849167,3,23,11.285714285714286,6.839262402049042,0.5669266581535339,0.7791657447814941,0.15,0.3,0.35,0.583541750907898,0.5698839426040649,0.5526785714285715,0.5107142857142857,79,20,you,2
8,0.06336964666843414,4,17,9.875,4.648588495446763,0.5892015099525452,0.8012188673019409,0.1,0.15,0.25,0.5725899338722229,0.5700573921203613,0.5319642857142857,0.5339285714285713,79,20,you,2
9,0.07121400535106659,3,13,8.777777777777779,3.119037521692933,0.5684014558792114,0.8009601831436157,0.15,0.15,0.3,0.5808707475662231,0.5790060758590698,0.55375,0.5660714285714286,79,20,you,2
10,0.07741112262010574,2,14,7.9,3.3301651610693423,0.5519191026687622,0.8105894327163696,0.2,0.3,0.35,0.599928081035614,0.5790560245513916,0.5955357142857143,0.5821428571428571,79,20,you,2
2,0.09799332916736603,33,46,39.5,6.5,0.7415323257446289,0.7415323257446289,0.15,0.3,0.4,0.6154478788375854,0.6265509128570557,0.6651785714285715,0.7625,79,20,you,3
3,0.1062563881278038,23,32,26.333333333333332,4.027681991198191,0.7053282856941223,0.7349356412887573,0.2,0.2,0.35,0.6200257539749146,0.6090602874755859,0.6657142857142858,0.6607142857142857,79,20,you,3
4,0.09689044952392578,9,29,19.75,7.790218225441442,0.6864517331123352,0.7371351718902588,0.2,0.2,0.35,0.6198294758796692,0.6251012682914734,0.6666071428571427,0.7267857142857144,79,20,you,3
5,0.0832701176404953,4,25,15.8,7.652450587883596,0.6077391505241394,0.7516852617263794,0.2,0.25,0.35,0.6260461211204529,0.6137267351150513,0.6864285714285715,0.7089285714285715,79,20,you,3
6,0.07045145332813263,3,24,13.166666666666666,7.057305119913376,0.5841552019119263,0.8058931827545166,0.2,0.3,0.5,0.639234721660614,0.6358909606933594,0.739107142857143,0.8107142857142857,79,20,you,3
